sample_index,sample_id,baseline,phi_T_cls,phi_T_reg,contribution_T_cls,contribution_T_reg,combined_contribution_T,phi_A_cls,phi_A_reg,contribution_A_cls,contribution_A_reg,combined_contribution_A,phi_V_cls,phi_V_reg,contribution_V_cls,contribution_V_reg,combined_contribution_V,main_modality,TEXT_MISSING_OOD_CAUTION,zero_missing_main_modality_agreement
21,102858$_$6,zero,1.4528757731119792,-0.1030598958333333,0.5191693929480189,0.12190050823964267,0.3205349505938308,0.0123850504557291,0.0296549479166666,0.0044256633951290205,0.035076235946403744,0.019750949670766384,1.3332010904947915,-0.7127278645833334,0.476404943656852,0.8430232558139537,0.6597140997354028,V,False,True
22,102858$_$10,zero,3.257080078125,1.0348307291666667,0.9251733703190014,0.8774011923161846,0.901287281317593,-0.065673828125,-0.0614583333333332,0.01865464632454924,0.05210863325237348,0.03538163978846136,-0.19775390625,-0.0831380208333334,0.05617198335644938,0.07049017443144187,0.06333107889394562,T,False,True
23,102858$_$17,zero,2.992584228515625,-0.8512369791666667,0.8469304912595869,0.7311004249608589,0.7890154581102229,0.0181732177734375,0.0097005208333333,0.005143197678435708,0.008331469469917217,0.006737333574176463,0.5226898193359375,-0.3033854166666666,0.14792631106197748,0.26056810556922383,0.20424720831560067,T,False,True
24,102858$_$19,zero,1.2030436197916663,-0.1285603841145833,0.662974257780967,0.28219899964272943,0.4725866287118482,-0.0036214192708333,-0.0119649251302083,0.0019956946811373042,0.0262638442300821,0.014129769455609703,0.6079508463541666,-0.3150410970052084,0.3350300475378959,0.6915371561271884,0.5132836018325422,V,False,False
25,112433$_$10,zero,1.976154327392578,-0.4672536214192708,0.8517361516442431,0.834185081869561,0.842960616756902,-0.0711479187011718,-0.0218770345052083,0.03066524391948213,0.03905693820918503,0.03486109106433358,0.2728462219238281,-0.0710011800130208,0.11759860443627482,0.12675797992125412,0.12217829217876447,T,False,False
26,112433$_$3,zero,2.884368896484375,-0.5862630208333334,0.6826652221018418,0.6118150626762239,0.6472401423890328,-0.569610595703125,0.1053385416666666,0.13481401227880102,0.10992968033427314,0.12237184630653708,0.77117919921875,-0.2666341145833333,0.18252076561935718,0.278255256989503,0.2303880113044301,T,False,True
27,112433$_$7,zero,3.329915364583333,-0.7275868733723958,0.8131234847581574,0.6383215887023076,0.7257225367302325,0.0655110677083333,-0.0357899983723958,0.015996979452327007,0.03139903901073792,0.023698009231532466,0.6997884114583333,-0.3764668782552083,0.1708795357895155,0.3302793722869546,0.25057945403823506,T,False,True
28,112433$_$6,zero,5.489420572916666,-2.1612630208333337,0.892862815693334,0.8917691935743836,0.8923160046338587,-0.1387532552083333,0.0082682291666666,0.022568433313919622,0.003411594047171304,0.012990013680545464,0.5199381510416667,-0.2540364583333332,0.08456875099274636,0.10481921237844512,0.09469398168559573,T,False,True
29,117tQqLjza4$_$6,zero,-0.2088623046875,-0.1695963541666666,0.23586986490212297,0.5608180839612488,0.3983439744316859,0.3038330078125,0.0773763020833333,0.3431210366694238,0.2558665231431647,0.2994937799062942,0.372802734375,-0.0554361979166666,0.42100909842845324,0.18331539289558654,0.3021622456620199,T,False,True
30,11j7EfglCAs$_$2,zero,0.37890625,-0.1187825520833333,0.8016528925619835,0.31791252831503747,0.5597827104385105,0.070556640625,-0.0148274739583333,0.14927685950413222,0.03968461404425851,0.09448073677419536,0.023193359375,-0.2400227864583333,0.0490702479338843,0.642402857640704,0.34573655278729415,T,False,True
